iter	Passed	Remaining
0	2679	1068976
1	5282	1051315
2	7858	1039961
3	10805	1069714
4	13750	1086264
5	16482	1082372
6	19148	1075027
7	22054	1080676
8	25160	1093082
9	28219	1100555
10	31117	1100433
11	33977	1098620
12	36902	1098571
13	39627	1092594
14	42247	1084350
15	44881	1077145
16	47437	1068739
17	49942	1059884
18	52732	1057432
19	52901	1005135
20	55547	1002494
21	58152	999168
22	60922	998593
23	63461	994228
24	65915	988736
25	68778	989345
26	71657	989930
27	74254	986519
28	76927	984146
29	79725	983278
30	82214	978617
31	84843	975701
32	87499	973096
33	90100	969904
34	92735	967094
35	95323	963827
36	97897	960456
37	100609	958442
38	103391	957031
39	105958	953624
40	108731	952064
41	111352	949145
42	113944	946000
43	116679	944046
44	119316	941275
45	122029	939096
46	124695	936542
47	127385	934160
48	130022	931388
49	132737	929164
50	135495	927211
51	138216	924985
52	140893	922453
53	143764	921160
54	146369	918135
55	149004	915313
56	151783	913366
57	154334	910041
58	157043	907656
59	159856	905852
60	162706	904218
61	165308	901197
62	167992	898623
63	170689	896122
64	173354	893440
65	173465	877839
66	176180	875641
67	178881	873363
68	181425	870317
69	184036	867598
70	186729	865267
71	189373	862701
72	191942	859799
73	194787	858118
74	197398	855395
75	199967	852494
76	202575	849763
77	205162	846953
78	207976	845070
79	210698	842794
80	213300	840033
81	215914	837325
82	218531	834633
83	221180	832061
84	223873	829650
85	226532	827105
86	229180	824521
87	232182	823191
88	234933	820947
89	237513	818103
90	240134	815402
91	242862	813062
92	245462	810289
93	248125	807728
94	250740	805009
95	253333	802222
96	255949	799512
97	258737	797335
98	261471	794978
99	264003	792010
100	266612	789277
101	269230	786574
102	271922	784086
103	274557	781434
104	277138	778625
105	279875	776259
106	282465	773479
107	285087	770791
108	287754	768226
109	290389	765572
110	292969	762776
111	295564	760022
112	298134	757209
113	300788	754609
114	303359	751804
115	305896	748918
116	308708	746704
117	311321	744005
118	313973	741399
119	316574	738672
120	319154	735901
121	321831	733354
122	324506	730798
123	327151	728176
124	329745	725439
125	332424	722891
126	335004	720127
127	337588	717374
128	340188	714658
129	342867	712109
130	345642	709754
131	348296	707146
132	350944	704528
133	353575	701873
134	356191	699190
135	358883	696656
136	361523	694018
137	364087	691238
138	366776	688695
139	369514	686240
140	372121	683541
141	374750	680884
142	377356	678186
143	380004	675562
144	382621	672885
145	385204	670150
146	387851	667527
147	390479	664871
148	393069	662151
149	395720	659533
150	398319	656830
151	400935	654158
152	403623	651601
153	406341	649090
154	408977	646448
155	411610	643800
156	414228	641130
157	416852	638470
158	419533	635897
159	422305	633458
160	424910	630767
161	427699	628348
162	430488	625924
163	433175	623349
164	436013	620988
165	438571	618227
166	441196	615561
167	443933	613050
168	446541	610360
169	449217	607764
170	451958	605254
171	454542	602532
172	457164	599862
173	459932	597383
174	462593	594762
175	465437	592374
176	468069	589714
177	470703	587057
178	473435	584521
179	476140	581948
180	478807	579330
181	481393	576614
182	484058	573992
183	486660	571297
184	489238	568574
185	491954	566011
186	494578	563343
187	497190	560662
188	499824	558005
189	502605	555511
190	505167	552775
191	507806	550123
192	510604	547643
193	513231	544977
194	515820	542272
195	518480	539643
196	521039	536909
197	523674	534253
198	526269	531558
199	529020	529020
200	531685	526395
201	534380	523799
202	537001	521129
203	539734	518568
204	542274	515821
205	544980	513234
206	547690	510648
207	550342	508008
208	552950	505327
209	555648	502730
210	558297	500086
211	560974	497468
212	563646	494844
213	566286	492192
214	568918	489534
215	571564	486888
216	574170	484208
217	576781	481532
218	579681	479097
219	582591	476665
220	585566	474282
221	588250	471660
222	591088	469160
223	591121	464452
224	593945	461957
225	596731	459430
226	599499	456886
227	602156	454258
228	604762	451591
229	607473	449002
230	609978	446261
231	612730	443701
232	615513	441161
233	618103	438483
234	620807	435886
235	623415	433221
236	626060	430581
237	628630	427891
238	631304	425272
239	633877	422585
240	636718	420075
241	639282	417382
242	641921	414739
243	644761	412224
244	647510	409649
245	650107	406978
246	653024	404504
247	655654	401852
248	658221	399162
249	660866	396519
250	663573	393914
251	666195	391257
252	668960	388684
253	671767	386134
254	674342	383449
255	676910	380761
256	679771	378238
257	682333	375547
258	685009	372920
259	687656	370276
260	690271	367616
261	692963	364996
262	695600	362347
263	698289	359724
264	700969	357097
265	704184	354739
266	706960	352156
267	710156	349778
268	713255	347347
269	715968	344725
270	718870	342193
271	721536	339546
272	724125	336864
273	726905	334270
274	729572	331623
275	732190	328955
276	735007	326375
277	737825	323793
278	740534	321163
279	743116	318478
280	745711	315799
281	748497	313201
282	751103	310526
283	753798	307889
284	756425	305224
285	759011	302543
286	761717	299909
287	764361	297251
288	766983	294585
289	769632	291929
290	772293	289278
291	774902	286607
292	777555	283953
293	780107	281263
294	782845	278640
295	785719	276063
296	788316	273389
297	790924	270719
298	793505	268040
299	796142	265380
300	798785	262723
301	801422	260064
302	804046	257401
303	806721	254754
304	809530	252148
305	812140	249481
306	814818	246834
307	817513	244192
308	820068	241508
309	822887	238902
310	825465	236226
311	828083	233562
312	830784	230920
313	833405	228257
314	836035	225596
315	838857	222987
316	841428	220310
317	844001	217635
318	846629	214974
319	849286	212321
320	851946	209668
321	854712	207042
322	857318	204376
323	860168	201768
324	863160	199190
325	866541	196699
326	869463	194100
327	872127	191442
328	875242	188882
329	877909	186223
330	880530	183554
331	883445	180946
332	886471	178359
333	889278	175725
334	891971	173069
335	895213	170516
336	897964	167868
337	900534	165186
338	903028	162491
339	905918	159867
340	908545	157197
341	911167	154525
342	913745	151846
343	916609	149215
344	919036	146513
345	921671	143844
346	924577	141217
347	927074	138528
348	930108	135918
349	933019	133288
350	935867	130648
351	938376	127960
352	940973	125285
353	943665	122623
354	946315	119955
355	949243	117322
356	952091	114677
357	955013	112040
358	957934	109402
359	960529	106725
360	963219	104059
361	966085	101412
362	968769	98745
363	971395	96072
364	973931	93390
365	976591	90721
366	979649	88088
367	982376	85424
368	985265	82772
369	988456	80145
370	991241	77482
371	994133	74827
372	996862	72158
373	999454	69480
374	1002069	66804
375	1005133	64157
376	1007843	61486
377	1010512	58812
378	1013343	56148
379	1016295	53489
380	1019570	50844
381	1022646	48187
382	1025477	45517
383	1028174	42840
384	1031025	40169
385	1033971	37501
386	1036987	34834
387	1040263	32173
388	1043385	29504
389	1046359	26829
390	1048991	24145
391	1051849	21466
392	1054458	18781
393	1057411	16102
394	1060184	13420
395	1063057	10737
396	1065961	8055
397	1068943	5371
398	1072084	2686
399	1075061	0
