iter	MultiClass
195	0.6859204281
196	0.68516651
197	0.6843166517
198	0.6832668238
199	0.6823348668
200	0.6814360826
201	0.680523229
202	0.6793992642
203	0.6784729613
204	0.6777652632
205	0.6770162231
206	0.6763057139
207	0.6754301347
208	0.6746076379
209	0.6738419609
210	0.6731497173
211	0.6723347197
212	0.6715144907
213	0.6706075526
214	0.6696775559
215	0.6690074852
216	0.6681360581
217	0.6673057208
218	0.6665062271
219	0.6658551139
220	0.6649487618
221	0.6640889718
222	0.6634232888
223	0.6629624503
224	0.6622606452
225	0.6615037226
226	0.660594217
227	0.6598484736
228	0.6591635625
229	0.6585384275
230	0.6579018217
231	0.6570252139
232	0.6560841683
233	0.6554058829
234	0.654793821
235	0.654154945
236	0.6534231012
237	0.652520862
238	0.6518782577
239	0.6510967639
240	0.6504814054
241	0.6499086605
242	0.6491927767
243	0.6485306987
244	0.647697741
245	0.6469806771
246	0.6462050221
247	0.6455014461
248	0.6448314036
249	0.6442426538
250	0.6435386537
251	0.6428466066
252	0.6422043009
253	0.6415417775
254	0.6407147366
255	0.6401856709
256	0.6395358374
257	0.6389964314
258	0.6384531102
259	0.6378636721
260	0.6370593388
261	0.6363351206
262	0.635509722
263	0.6348755651
264	0.6340140178
265	0.633212814
266	0.6326233422
267	0.6320019502
268	0.6314073373
269	0.6308728254
270	0.6302994952
271	0.6295830543
272	0.6288273572
273	0.6281064032
274	0.6275659605
275	0.6268998419
276	0.6260299493
277	0.6254806887
278	0.6247849411
279	0.6241807607
280	0.6234620809
281	0.6228789165
282	0.6221800012
283	0.6216389678
284	0.6209883971
285	0.6202071126
286	0.6197488488
287	0.6190950859
288	0.618569944
289	0.6180406122
290	0.6172881245
291	0.6166998663
292	0.6161214957
293	0.6155270666
294	0.6149251091
295	0.6143799833
296	0.6137844312
297	0.6130126986
298	0.6125942724
299	0.6120025303
300	0.6115083668
301	0.6109324555
302	0.6104112562
303	0.6098629643
304	0.609338405
305	0.6086383952
306	0.6080333629
307	0.6074739725
308	0.6068529791
309	0.6062255513
310	0.6055579979
311	0.6049539507
312	0.6044259499
313	0.6036817995
314	0.6031052467
315	0.602538316
316	0.6020678409
317	0.6015423687
318	0.6010711344
319	0.6005357135
320	0.6000770699
321	0.5996543654
322	0.599139099
323	0.5986375721
324	0.5979733423
325	0.5975347396
326	0.5970752997
327	0.5966162148
328	0.5961553151
329	0.5955800734
330	0.5951829239
331	0.5945664778
332	0.5939818481
333	0.5934776982
334	0.5929945477
335	0.5925907916
336	0.5920345346
337	0.5915482725
338	0.5909791479
339	0.5904777826
340	0.5898147606
341	0.5890976712
342	0.5886416846
343	0.5880987833
344	0.5874338775
345	0.5870021571
346	0.5864784122
347	0.5857827757
348	0.5850812262
349	0.5844882344
350	0.5840682318
351	0.5835572287
352	0.5829792917
353	0.5823141602
354	0.5818622917
355	0.5813667905
356	0.5808314859
357	0.5804365531
358	0.5799394957
359	0.5793220431
360	0.578764066
361	0.5781393156
362	0.5776824915
363	0.5772130113
364	0.5768443994
365	0.5764201496
366	0.575864314
367	0.5753816134
368	0.5749649271
369	0.5745750997
370	0.5741446654
371	0.5737647284
372	0.5730875019
373	0.5726046369
374	0.5721102862
375	0.5716855798
376	0.5711224552
377	0.5707568276
378	0.5701714473
379	0.5693811399
380	0.5688500489
381	0.5681978972
382	0.5677995944
383	0.56736966
384	0.5669132576
385	0.5663416026
386	0.5659415198
387	0.5655101219
388	0.5651290943
389	0.564538976
390	0.5639646576
391	0.5635096919
392	0.5630261404
393	0.5624330035
394	0.561934648
395	0.5614273846
396	0.5608785484
397	0.5604798339
398	0.5600865983
399	0.5596290812
